uniprotkb:Q9DBG9	uniprotkb:Q82235	intact:EBI-1161647|ensembl:ENSMUSP00000047410	intact:EBI-1162486	psi-mi:tx1b3_mouse(display_long)|uniprotkb:Tax interaction protein 1(gene name synonym)|uniprotkb:Tax1bp3(gene name)|psi-mi:Tax1bp3(display_short)	psi-mi:q82235_9dela(display_long)|uniprotkb:tax(gene name)|psi-mi:tax(display_short)	psi-mi:"MI:0096"(pull down)	Kanamori et al. (2003)	pubmed:12874278	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:11908(humt-)|taxid:11908(Human T-lymphotropic virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1162495	intact-miscore:0.44
uniprotkb:Q76353	uniprotkb:Q2T9J0	intact:EBI-6248077	intact:EBI-2510623|uniprotkb:Q8N6H2|uniprotkb:Q5SQU1|uniprotkb:Q96AR5|uniprotkb:Q5SQT4|ensembl:ENSP00000287078.6	psi-mi:q76353_9hiv1(display_long)	psi-mi:tysd1_human(display_long)|uniprotkb:TYSND1(gene name)|psi-mi:TYSND1(display_short)|uniprotkb:Trypsin domain-containing protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:Q9H583	intact:EBI-6248077	intact:EBI-1048716|uniprotkb:Q5T3Q8|uniprotkb:Q6P197|uniprotkb:Q9NW23|ensembl:ENSP00000355541.3	psi-mi:q76353_9hiv1(display_long)	psi-mi:heat1_human(display_long)|uniprotkb:Protein BAP28(gene name synonym)|uniprotkb:HEATR1(gene name)|psi-mi:HEATR1(display_short)|uniprotkb:BAP28(gene name synonym)|uniprotkb:U3 small nucleolar RNA-associated protein 10 homolog(gene name synonym)|uniprotkb:UTP10(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.56
uniprotkb:Q76353	uniprotkb:P62258	intact:EBI-6248077	intact:EBI-356498|uniprotkb:P29360|uniprotkb:P42655|uniprotkb:Q53XZ5|uniprotkb:Q63631|uniprotkb:Q7M4R4|uniprotkb:B3KY71|uniprotkb:D3DTH5|uniprotkb:Q4VJB6|ensembl:ENSP00000264335.8|ensembl:ENSP00000487356.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:1433e_human(display_long)|uniprotkb:YWHAE(gene name)|psi-mi:YWHAE(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:Q9P2R7	intact:EBI-6248077	intact:EBI-2269898|uniprotkb:O95194|uniprotkb:Q5T9Q4|uniprotkb:Q5T9Q6|uniprotkb:Q9NV21|uniprotkb:Q9NVP7|uniprotkb:B2RDE7|ensembl:ENSP00000494360.1|ensembl:ENSP00000494987.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:sucb1_human(display_long)|uniprotkb:SUCLA2(gene name)|psi-mi:SUCLA2(display_short)|uniprotkb:ATP-specific succinyl-CoA synthetase subunit beta(gene name synonym)|uniprotkb:Succinyl-CoA synthetase beta-A chain(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:Q02809	intact:EBI-6248077	intact:EBI-357174|uniprotkb:Q96AV9|uniprotkb:Q9H132|uniprotkb:B4DR87|ensembl:ENSP00000196061.4|intact:EBI-21357524	psi-mi:q76353_9hiv1(display_long)	psi-mi:plod1_human(display_long)|uniprotkb:PLOD(gene name synonym)|uniprotkb:PLOD1(gene name)|psi-mi:PLOD1(display_short)|uniprotkb:LLH(gene name synonym)|uniprotkb:Lysyl hydroxylase 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:P63104	intact:EBI-6248077	intact:EBI-347088|uniprotkb:P29213|uniprotkb:P29312|uniprotkb:Q32P43|uniprotkb:Q5XJ08|uniprotkb:Q6GPI2|uniprotkb:Q6IN74|uniprotkb:Q6NUR9|uniprotkb:Q6P3U9|uniprotkb:Q86V33|uniprotkb:A8K1N0|uniprotkb:B7Z465|ensembl:ENSP00000309503.3|ensembl:ENSP00000379281.3|ensembl:ENSP00000379283.2|ensembl:ENSP00000379286.3|ensembl:ENSP00000379287.2|ensembl:ENSP00000379288.2|ensembl:ENSP00000395114.2|ensembl:ENSP00000398599.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:1433z_human(display_long)|uniprotkb:YWHAZ(gene name)|psi-mi:YWHAZ(display_short)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:Q8TEX9	intact:EBI-6248077	intact:EBI-395967|uniprotkb:Q2NL96|uniprotkb:Q86TZ9|uniprotkb:Q8NCG8|uniprotkb:Q96SJ3|uniprotkb:Q9BTI4|uniprotkb:Q9H5L0|uniprotkb:B2RN95|ensembl:ENSP00000346453.6|ensembl:ENSP00000494795.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:ipo4_human(display_long)|uniprotkb:IPO4(gene name)|psi-mi:IPO4(display_short)|uniprotkb:IMP4B(gene name synonym)|uniprotkb:RANBP4(gene name synonym)|uniprotkb:Importin-4b(gene name synonym)|uniprotkb:Ran-binding protein 4(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:P22314	intact:EBI-6248077	intact:EBI-709688|uniprotkb:Q96E13|uniprotkb:Q5JRR8|ensembl:ENSP00000338413.6|ensembl:ENSP00000366568.4	psi-mi:q76353_9hiv1(display_long)	psi-mi:uba1_human(display_long)|uniprotkb:Ubiquitin-activating enzyme E1(gene name synonym)|uniprotkb:Protein A1S9(gene name synonym)|uniprotkb:UBA1(gene name)|psi-mi:UBA1(display_short)|uniprotkb:A1S9T(gene name synonym)|uniprotkb:UBE1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.50
uniprotkb:Q76353	uniprotkb:O00469	intact:EBI-6248077	intact:EBI-1047459|uniprotkb:Q59ED2|uniprotkb:Q8N170|intact:EBI-2559757|uniprotkb:B3KWS3|ensembl:ENSP00000353170.3|ensembl:ENSP00000515354.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:plod2_human(display_long)|uniprotkb:Lysyl hydroxylase 2(gene name synonym)|uniprotkb:PLOD2(gene name)|psi-mi:PLOD2(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:P12532	intact:EBI-6248077	intact:EBI-1050662|uniprotkb:Q0VAM3|uniprotkb:Q32NF6|uniprotkb:Q53FC4|uniprotkb:B4DIT8|uniprotkb:B7ZA09|ensembl:ENSP00000300283.6|ensembl:ENSP00000406577.3|ensembl:ENSP00000413165.1|ensembl:ENSP00000413255.2	psi-mi:q76353_9hiv1(display_long)	psi-mi:kcru_human(display_long)|uniprotkb:Ubiquitous mitochondrial creatine kinase(gene name synonym)|uniprotkb:Acidic-type mitochondrial creatine kinase(gene name synonym)|uniprotkb:CKMT1A(gene name)|psi-mi:CKMT1A(display_short)|uniprotkb:CKMT(gene name synonym)|uniprotkb:CKMT1B(gene name)|psi-mi:CKMT1B(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
