Protein1,Protein2,Taxonomy1,Taxonomy2,Taxonomy3,Taxonomy4,Miscore
P03255,P06400,taxid:28285(ade05),"taxid:28285(""Human adenovirus C serotype 5 (HAdV-5)",taxid:9606(human),taxid:9606(Homo sapiens),0.92
P03255,P06438|uniprotkb:Q64825|uniprotkb:Q64826,taxid:28285(ade05),"taxid:28285(""Human adenovirus C serotype 5 (HAdV-5)",taxid:9606(human),taxid:9606(Homo sapiens),0.35
P03255,P06438|uniprotkb:Q64825|uniprotkb:Q64826,taxid:28285(ade05),"taxid:28285(""Human adenovirus C serotype 5 (HAdV-5)",taxid:9606(human),taxid:9606(Homo sapiens),0.35
Q9BUN8,P09727,taxid:9606(human),taxid:9606(Homo sapiens),taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",0.35
P30459,P35961,taxid:9606(human),taxid:9606(Homo sapiens),taxid:362651(hv1y2),"taxid:362651(""Human immunodeficiency virus type 1 group M subtype B (isolate YU-2)",0.40
P30459,P35961,taxid:9606(human),taxid:9606(Homo sapiens),taxid:362651(hv1y2),"taxid:362651(""Human immunodeficiency virus type 1 group M subtype B (isolate YU-2)",0.40
Q8WUM4,P03347,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.40
Q8WUM4,P03347,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.40
P62158,P35963,taxid:9606(human),taxid:9606(Homo sapiens),taxid:362651(hv1y2),"taxid:362651(""Human immunodeficiency virus type 1 group M subtype B (isolate YU-2)",0.35
P01948,Hemoglobin,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:9986(rabit),"taxid:9986(""Oryctolagus cuniculus (Rabbit)",0.40
,,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),,,0.40
P01948,Hemoglobin,taxid:9986(rabit),"taxid:9986(""Oryctolagus cuniculus (Rabbit)",taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.40
P01966,A3KN13|uniprotkb:Q3SZE0|uniprotkb:Q9TTR9|uniprotkb:Q9TTS0|uniprotkb:Q9TTS1,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:9913(bovin),"taxid:9913(""Bos taurus (Bovine)",0.40
P01946,P33583|uniprotkb:Q63243|uniprotkb:Q80XV2|uniprotkb:Q91V15,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:10116(rat),"taxid:10116(""Rattus norvegicus (Rat)",0.40
P68240,P01970,taxid:9940(sheep),"taxid:9940(""Ovis aries (Sheep)",taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.40
P01965,HBA(gene,taxid:9823(pig),"taxid:9823(""Sus scrofa (Pig)",taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.40
P21871,O12986|uniprotkb:Q91249,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:8932(colli),"taxid:8932(""Columba livia (Domestic pigeon)",0.40
Q9UER7,P04491,taxid:9606(human),taxid:9606(Homo sapiens),taxid:28282(ade12),"taxid:28282(""Human adenovirus A serotype 12 (HAdV-12)",0.37
P04491,Q9UER7,taxid:28282(ade12),"taxid:28282(""Human adenovirus A serotype 12 (HAdV-12)",taxid:9606(human),taxid:9606(Homo sapiens),0.37
P06788,P51784,taxid:333761(hpv18),taxid:333761(Human papillomavirus type 18),taxid:9606(human),taxid:9606(Homo sapiens),0.37
P06463,P04637,taxid:333761(hpv18),taxid:333761(Human papillomavirus type 18),taxid:9606(human),taxid:9606(Homo sapiens),0.84
P06463,Q9NQC7,taxid:333761(hpv18),taxid:333761(Human papillomavirus type 18),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P06400,Q6H1D8,taxid:9606(human),taxid:9606(Homo sapiens),taxid:130308(human adenovirus e),taxid:130308(Human adenovirus E),0.35
P07917,P10226,taxid:10301(hhv1a),"taxid:10301(""Human herpesvirus 1 (strain Angelotti)",taxid:10299(hhv11),"taxid:10299(""Human herpesvirus 1 (strain 17)",0.44
Q13651,P17150,taxid:9606(human),taxid:9606(Homo sapiens),taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",0.62
P69699,Q10589,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.63
P69699,Q10589,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.63
Q10589,P69699,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.63
Q10589,P69699,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.63
Q10589,P69699,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.63
Q10589,P69699,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.63
Q10589,P69699,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",0.63
P03418,Q9BYX4,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.27
Q9BYX4,P03418,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11259(hrsva),taxid:11259(human respiratory sy),0.27
Q7Z434,P03418,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11259(hrsva),taxid:11259(human respiratory sy),0.27
P16757,Q9BZM5,taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",taxid:9606(human),taxid:9606(Homo sapiens),0.40
Q5VY80,P16757,taxid:9606(human),taxid:9606(Homo sapiens),taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",0.46
Q6H3X3,P16757,taxid:9606(human),taxid:9606(Homo sapiens),taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",0.40
Q5VY80,P16757,taxid:9606(human),taxid:9606(Homo sapiens),taxid:10360(hcmva),"taxid:10360(""Human cytomegalovirus (strain AD169)",0.46
P90495,Q9NZT1,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q15904,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q00839,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q13748,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q3ZAQ7,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q00325,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,P31151,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,P19338,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q6PEY2,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q96HS1,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q8NC56,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q71U36,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,O75787,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90495,Q9BQE3,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P90489,P34931,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P03366,Q9UGP4,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P60228,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P62714,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9UMS0,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.35
P03366,Q08380,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P55884,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O15372,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q13347,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O15371,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9H4L5,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q5T4S7,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O75821,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q15293,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9Y262,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q14152,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P46063,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P13667,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q99613,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O00303,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9UBQ5,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P05919,P05919,taxid:11706(hv1h2),"taxid:11706(""Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)",taxid:11706(hv1h2),"taxid:11706(""Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)",0.35
P03366,P60228,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9UBQ5,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O75821,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9Y262,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q99613,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P55884,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q14152,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q13347,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P62714,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q15293,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q5T4S7,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P13667,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P46063,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q08380,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O15372,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9UGP4,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
